Pole Number,Number of Locations,Location 1,Location 2,Location 3,Action Needed
LAW.P.C362,3,6 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,6 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,8 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C363,3,10 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,12 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,8 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C364,3,14 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,14 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,12 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C365,4,18 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,18 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,16 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C368,3,6 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,13 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,4 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C370,2,10 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,12 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C371,3,14 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,18 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,16 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C373,2,30 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,26 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C374,3,26 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,"MOLAMBO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB [-26.3831567, 27.813956]",24 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C376,4,34 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,38 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,36 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C377,2,44 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,8414 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C378,4,42 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,44 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,46 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C380,2,2 KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,5 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C381,2,2 KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,9 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C383,2,13 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,15 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C384,2,17 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,15 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C385,2,17 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,19 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C386,2,21 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,23 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C388,2,29 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,31 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C389,2,31 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,33 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C392,2,43 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,28 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C393,2,45 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,28 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C396,2,55 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,53 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C397,3,28 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,59 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,57 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C398,2,28 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,61 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C403,2,69 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,71 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C404,2,55 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,73 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C405,2,"UNNAMED LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB [-26.383183, 27.8125437]","UNNAMED LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB [-26.38320753829164, 27.8125509417166]",,Verify correct location
LAW.P.C406,3,71 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,54 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,7925 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C407,2,73 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,5 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C408,2,75 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,5 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C409,2,77 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,9 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C410,3,79 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,81 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,9 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C411,2,11 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,13 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C413,3,15 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,87 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,89 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C414,4,91 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,19 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,89 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C415,3,93 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,19 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,21 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C417,4,23 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,25 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,95 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C418,4,101 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,27 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,99 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C419,2,7974 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,5 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C421,3,58 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,2 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,7904 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C422,2,7902 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,62 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C423,3,8 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,7913 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,23 MOLAPO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C424,2,21 MOLAPO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,19 MOLAPO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C426,3,17 MOLAPO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,7916 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,13 MOLAPO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C428,3,10 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,7908 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,12 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C429,4,14 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,25 MOLAPO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,27 MOLAPO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C431,2,9 NGUNGUNYANE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,95 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C432,3,5 NGUNGUNYANE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,93 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,7 NGUNGUNYANE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C433,2,5 NGUNGUNYANE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,93 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C434,3,7837 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,3 NGUNGUNYANE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,1 NGUNGUNYANE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C435,5,83 RAMODIKE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,81 RAMODIKE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,7839 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C436,2,83 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,81 RAMODIKE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C437,4,7881 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,89 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,87 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C438,4,7842 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,77 RAMODIKE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,79 RAMODIKE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C441,3,7847 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,67 RAMODIKE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,69 RAMODIKE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C444,2,13 NGUNGUNYANE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,3 MOLAPO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C446,3,7894 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,82 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,78 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C447,2,76 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,74 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C451,2,4 SIBUSISO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,4 MOLAPO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C452,3,6 MOLAPO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,8 SIBUSISO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,6 SIBUSISO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C453,2,10 MOLAPO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,10 SIBUSISO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C454,2,14 SIBUSISO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,12 SIBUSISO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C455,2,14 MOLAPO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,16 SIBUSISO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C457,2,22 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,16 MOLAPO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C458,4,16 MOLAPO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,18 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,7985 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C460,2,18 SIBUSISO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,20 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C462,4,26 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,13 SIBUSISO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,28 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C463,3,30 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,32 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,9 SIBUSISO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C464,2,36 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,5 SIBUSISO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C465,4,38 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,5 NGUNGUNYANE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,3 SIBUSISO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C467,2,31 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,33 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C468,4,103 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,7941 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,7940 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C469,3,105 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,107 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,33 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C470,5,7943 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,7944 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,35 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C471,4,115 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,37 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,113 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C472,4,117 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,"TSAKANE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB [-26.385382784493604, 27.811725618987]","TSAKANE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB [-26.385423792108334, 27.811664583830392]",Verify correct location
LAW.P.C474,4,48 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,74 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,46 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C476,3,76 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,6 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,8431 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C477,4,80 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,8432 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,4 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C478,2,8432 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,80 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C479,2,3 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,157 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C480,3,3 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,157 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,5 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C482,2,153 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,8577 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C483,2,8579 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,151 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C484,4,3 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,5 MATLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,3 MATLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C485,3,11 MATLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,9 MATLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,13 MATLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C486,2,13 MATLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,9 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C487,2,9 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,5 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C488,2,15 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,13 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C489,3,28 AMEMONE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,8562 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,17 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C490,2,8 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,6 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C491,4,10 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,8 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,40 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C492,3,8427 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,40 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,16 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C493,3,10 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,14 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,2 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C495,4,32 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,34 KGWEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,12 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C497,2,22 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,24 LETSATSI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C499,2,70 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,76 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C501,3,74 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,80 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,82 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C502,3,86 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,82 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,84 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C508,2,82 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,80 ZANDILE CLOSE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C509,4,86 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,80 ZANDILE CLOSE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,8242 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C510,3,18 SIYAPHAMBILI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,80 ZANDILE CLOSE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,20 SIYAPHAMBILI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C511,3,16 SIYAPHAMBILI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,72 ZANDILE CLOSE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,8225 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C512,4,14 SIYAPHAMBILI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,68 ZANDILE CLOSE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,12 SIYAPHAMBILI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C513,3,10 SIYAPHAMBILI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,64 ZANDILE CLOSE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,8 SIYAPHAMBILI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C515,4,8 MATHE STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,8231 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,60 ZANDILE CLOSE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C517,4,72 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,74 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,66 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C518,3,68 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,62 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,70 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C519,3,66 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,58 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,60 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C520,2,54 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,64 SHILOWA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
